Gnd tr X,Gnd tr Y,Gaze X,Gaze Y,Timestamp,Res X,Res Y,Mmpix,User Dis,UID
-337,1,-331.5006,71.4897,1382652294,,,,,
-337,1,-332.5924,50.0357,1382652324,,,,,
-337,1,-331.342,13.5566,1382652369,,,,,
-337,1,-322.7522,11.1895,1382652398,,,,,
-337,1,-322.0833,12.7304,1382652429,,,,,
-337,1,-318.9285,6.6188,1382652459,,,,,
-337,1,-318.0234,6.4586,1382652474,,,,,
-337,1,-333.0211,24.5156,1382652533,,,,,
-337,1,-342.6077,24.295,1382652564,,,,,
-337,1,-327.0488,15.8344,1382652594,,,,,
-337,1,-324.6126,20.7268,1382652623,,,,,
-337,1,-330.6939,15.2497,1382652668,,,,,
-337,1,-331.2377,17.1524,1382652699,,,,,
-337,1,-324.9309,31.3944,1382652730,,,,,
-337,1,-327.234,33.6947,1382652760,,,,,
-337,1,-326.9006,28.796,1382652773,,,,,
-337,1,-337.5699,27.7361,1382652835,,,,,
-337,1,-329.8632,4.5854,1382652864,,,,,
-337,1,-330.4071,1.3114,1382652893,,,,,
-337,1,-329.554,3.483,1382652913,,,,,
-337,1,-344.568,11.5717,1382652969,,,,,
-337,1,-349.7101,13.4261,1382652999,,,,,
-337,1,-345.2433,1.4656,1382653028,,,,,
-337,1,-347.7762,19.2898,1382653059,,,,,
-337,1,-347.4909,20.9687,1382653073,,,,,
-337,1,-342.2698,16.744,1382653133,,,,,
-337,1,-350.9683,-32.2335,1382653163,,,,,
-337,1,-354.5883,-56.8888,1382653193,,,,,
-337,1,-345.3178,-42.3595,1382653223,,,,,
-337,1,-342.5496,-8.6849,1382653268,,,,,
-337,1,-347.0169,0.5871,1382653298,,,,,
-337,1,-339.0111,2.1018,1382653329,,,,,
-337,1,-336.9902,16.276,1382653359,,,,,
-337,1,-337.9002,17.3614,1382653405,,,,,
-337,1,-323.6106,18.4713,1382653435,,,,,
-337,1,-320.976,8.2787,1382653463,,,,,
-337,1,-328.7648,18.8764,1382653493,,,,,
-337,1,-323.1713,6.265,1382653523,,,,,
-337,1,-321.3151,9.5723,1382653568,,,,,
-337,1,-313.9008,11.6506,1382653599,,,,,
-337,1,-312.4826,14.9541,1382653629,,,,,
-337,1,-318.3105,19.6988,1382653658,,,,,
-337,1,-322.0897,17.0434,1382653704,,,,,
-337,1,-320.9201,2.4076,1382653735,,,,,
-337,1,-323.8459,11.2616,1382653764,,,,,
-337,1,-327.6728,22.5298,1382653793,,,,,
-337,1,-322.8323,13.6304,1382653825,,,,,
-337,1,-316.8854,22.3569,1382653868,,,,,
-337,1,-324.482,27.9052,1382653899,,,,,
-337,1,-327.0965,40.4889,1382653928,,,,,
-337,1,-328.5356,20.7089,1382653959,,,,,
-337,1,-328.2083,-3.0524,1382654005,,,,,
-337,1,-328.449,-2.4078,1382654033,,,,,
-337,1,-318.038,9.8937,1382654063,,,,,
-337,1,-319.6265,8.7149,1382654094,,,,,
-337,1,-334.4979,-30.9628,1382654124,,,,,
-337,1,-325.0937,-23.9138,1382654169,,,,,
-337,1,-317.9325,-1.772,1382654198,,,,,
-337,1,-320.7397,-1.0401,1382654228,,,,,
-673,1,-326.9901,18.8748,1382654259,,,,,
-673,1,-335.8954,35.7495,1382654305,,,,,
-673,1,-319.3685,30.4683,1382654333,,,,,
-673,1,-318.9235,23.5038,1382654364,,,,,
-673,1,-329.6477,10.3787,1382654393,,,,,
-673,1,-320.2994,-14.5199,1382654425,,,,,
-673,1,-308.5285,-25.0845,1382654468,,,,,
-673,1,-512.1506,0.719,1382654488,,,,,
-673,1,-641.9308,27.983,1382654528,,,,,
-673,1,-652.5567,21.3804,1382654559,,,,,
