TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ
3475.58157992,335.0,1.0,388.1701,-173.8907,76.38,0.228,88.5027828,-39.6470796,6.22715269066,3.79816874884,0.0186620532386,-9.22482413526,13.3909371584,10.7975007651,2.59343639331
3508.82305002,335.0,1.0,363.5658,-10.1531,76.38,0.228,82.8930024,-2.3149068,6.22715269066,3.32265358934,0.0186620532386,-6.13564275804,13.3909371584,12.9899567035,0.400980454929
3542.06338,335.0,1.0,348.916,20.4704,76.38,0.228,79.552848,4.6672512,6.22715269066,3.04263654166,0.0186620532386,-5.55081158123,13.3909371584,13.3536070225,0.0373301359209
3575.49017,335.0,1.0,348.8765,21.3276,76.38,0.228,79.543842,4.8626928,6.22715269066,3.04414750293,0.0186620532386,-5.5298481502,13.3909371584,13.37398693,0.0169502284422
3608.56515002,335.0,1.0,348.5375,16.9934,76.38,0.228,79.46655,3.8744952,6.22715269066,3.03904696301,0.0186620532386,-5.61255707257,13.3909371584,13.2995344609,0.0914026975216
3642.11396003,335.0,1.0,350.168,18.2012,76.38,0.228,79.838304,4.1498736,6.22715269066,3.06880578376,0.0186620532386,-5.59347165722,13.3909371584,13.3275387061,0.0633984522954
3675.33890009,335.0,1.0,349.8147,21.7455,76.38,0.228,79.7577516,4.957974,6.22715269066,3.05861197554,0.0186620532386,-5.53723279978,13.3909371584,13.3720071085,0.0189300498678
3708.69640994,335.0,1.0,352.9541,23.206,76.38,0.228,80.4735348,5.290968,6.22715269066,3.11086962779,0.0186620532386,-5.53028403241,13.3909371584,13.403542324,0.0126051656333
3741.98720002,335.0,1.0,360.0741,20.4182,76.38,0.228,82.0968948,4.6553496,6.22715269066,3.24870972613,0.0186620532386,-5.58297244778,13.3909371584,13.4164195183,0.0254823599017
3775.36781001,335.0,1.0,362.072,18.8322,76.38,0.228,82.552416,4.2937416,6.22715269066,3.28711131319,0.0186620532386,-5.61778247362,13.3909371584,13.4044867844,0.0135496259674
3808.46787,335.0,1.0,364.3827,16.893,76.38,0.228,83.0792556,3.851604,6.22715269066,3.33343387734,0.0186620532386,-5.64944279158,13.3909371584,13.3965561818,0.00561902335698
